transaction_id,account_number,customer_id,amount,currency,payment_method,payment_type,transaction_date,country,city,merchant_name,status
TXN202504170000,ACC83401751,CUST26683587981111251490334853372867058032304851,1761.59,EGP,PayPal,Subscription,2025-05-20T13:35:00Z,UAE,Dubai,DigitalStore,Pending
TXN202504170001,ACC19690772,CUST58630291175050395955239238690513576832245462,248.02,USD,Credit Card,Subscription,2025-05-20T13:35:10Z,USA,New York,TechZone Electronics,Pending
TXN202504170002,ACC52964079,CUST56089170269452204893581493907337538206093625,1072.72,EUR,PayPal,Mobile Payment,2025-05-20T13:35:20Z,Germany,Berlin,QuickBuy,Cancelled
TXN202504170003,ACC38774788,CUST61489179747925307277902248420524854429298231,87.01,EUR,Debit Card,In-store Purchase,2025-05-20T13:35:30Z,UAE,Dubai,MegaMart,Completed
TXN202504170004,ACC17114758,CUST63514578082863652059571346537990314659450488,2118.02,EUR,Bank Transfer,Mobile Payment,2025-05-20T13:35:40Z,Jordan,Amman,MegaMart,Failed
TXN202504170005,ACC44367042,CUST55386437710618764512675512605775123773849236,1686.52,JOD,PayPal,Online Purchase,2025-05-20T13:35:50Z,Egypt,Cairo,eMarket,Cancelled
TXN202504170006,ACC71447020,CUST66331376519178177770089426326088343774811488,3104.27,SAR,PayPal,Mobile Payment,2025-05-20T13:36:00Z,Germany,Berlin,MegaMart,Completed
TXN202504170007,ACC57326094,CUST87359208751826840991735748159433162572993514,3779.45,USD,Credit Card,Online Purchase,2025-05-20T13:36:10Z,India,Mumbai,TechZone Electronics,Cancelled
TXN202504170008,ACC18307449,CUST23390837934092423662346805804784248317903804,4688.87,SAR,Credit Card,Subscription,2025-05-20T13:36:20Z,Germany,Berlin,MegaMart,Completed
TXN202504170009,ACC26793268,CUST64020069096973702524377199772695546645704341,574.75,USD,Bank Transfer,Subscription,2025-05-20T13:36:30Z,UAE,Dubai,MegaMart,Pending
TXN202504170010,ACC20171881,CUST54850656127944010290636278220383386050791964,315.2,JOD,Credit Card,In-store Purchase,2025-05-20T13:36:40Z,Jordan,Amman,MegaMart,Cancelled
TXN202504170011,ACC55953312,CUST14645885681422787009182378998913339485601529,2112.35,EGP,Credit Card,Subscription,2025-05-20T13:36:50Z,USA,New York,TechZone Electronics,Failed
TXN202504170012,ACC70252729,CUST45688959142033240772740564879621200950842152,562.85,SAR,Debit Card,Online Purchase,2025-05-20T13:37:00Z,Germany,Berlin,GlobalShop,Pending
TXN202504170013,ACC42027627,CUST93597917948969195942756132352740681973076142,4939.48,JOD,Debit Card,Online Purchase,2025-05-20T13:37:10Z,Jordan,Amman,GlobalShop,Completed
TXN202504170014,ACC39183933,CUST00818231745227760243530537048948995342715262,920.01,EUR,Credit Card,In-store Purchase,2025-05-20T13:37:20Z,UAE,Dubai,eMarket,Completed
